I
1100 Version - data cycle 1611, build 20161011, metadata NavXP1100. Copyright (c) 2016 Navigraph. License: GPL+2

12  34.001944444   74.754722222     5487    11590    40      0.000  SNG ENRT VI SRINAGAR VOR/DME
 3  35.238916667   47.007833333     4618    11650    40      4.000  SNJ ENRT OI SANANDAJ VOR/DME
12  35.238916667   47.007833333     4618    11650    40      0.000  SNJ ENRT OI SANANDAJ VOR/DME
 3  12.638869444   53.905952778       10    10860   130     -0.000  SOC ENRT OY SOCOTRA VOR/DME
12  12.638869444   53.905952778       10    10860   130      0.000  SOC ENRT OY SOCOTRA VOR/DME
 3  29.556361111   55.660277778     5801    11460   130      3.000  SRJ ENRT OI SIRJAN VOR/DME
12  29.556361111   55.660277778     5801    11460   130      0.000  SRJ ENRT OI SIRJAN VOR/DME
13  27.415027778   62.325416667     3930    11410    40      0.000  SRN ENRT OI SARAVAN DME
13  36.495388889   61.074138889      945    11610    40      0.000  SRS ENRT OI SARAKHS DME
 3  37.910666667   41.881972222     3156    11430   130      4.600  SRT ENRT LT SIIRT VOR/DME
12  37.910666667   41.881972222     3156    11430   130      0.000  SRT ENRT LT SIIRT VOR/DME
 3  28.393333333   77.708055556      777    11240   130      0.300  SSB ENRT VI SIKANDARABAD VOR/DME
12  28.393333333   77.708055556      777    11240   130      0.000  SSB ENRT VI SIKANDARABAD VOR/DME
 3  35.579583333   45.290055556     2500    11700   130      4.000  SUL ENRT OR SULAYMANIYAH VOR/DME
12  35.579583333   45.290055556     2500    11700   130      0.000  SUL ENRT OR SULAYMANIYAH VOR/DME
 3  22.546638889   59.491583333      153    11750    40      1.000  SUR ENRT OO SUR VOR/DME
12  22.546638889   59.491583333      153    11750    40      0.000  SUR ENRT OO SUR VOR/DME
 3  21.110650000   72.740369444       29    11220   130     -0.000  SUR ENRT VA SURAT VOR/DME
12  21.110650000   72.740369444       29    11220   130      0.000  SUR ENRT VA SURAT VOR/DME
 3  39.445888889   31.374083333     3222    10920   130      5.000  SYT ENRT LT SIVRIHISAR (ESKISEHIR) TACAN
12  39.445888889   31.374083333     3222    10920   130      0.000  SYT ENRT LT SIVRIHISAR (ESKISEHIR) TACAN DME
 3  24.963250000   91.862008333       90    11640   130     -1.000  SYT ENRT VG SYLHET VOR/DME
12  24.963250000   91.862008333       90    11640   130      0.000  SYT ENRT VG SYLHET VOR/DME
 3  29.540166667   52.588777778     4889    11780   130      3.000  SYZ ENRT OI SHIRAZ VOR/DME
12  29.540166667   52.588777778     4889    11780   130      0.000  SYZ ENRT OI SHIRAZ VOR/DME
 2  40.899666667   29.320388889        0      347    15      0.000  SAB ENRT LT SABIHA (ISTANBUL) NDB
 2  14.149916667   77.784611111        0      241    50      0.000  SAI ENRT VO SRISATHYASAI NDB
 2  17.028550000   54.085836111        0      310    50      0.000  SAN ENRT OO SALALAH NDB
 2  35.018555556   50.371361111        0      408    50      0.000  SAV ENRT OI SAVEH NDB
 2  29.569538889   67.847069444        0      208    50      0.000   SB ENRT OP SIBI NDB
 2  36.171777778   57.593361111        0      255    75      0.000  SBZ ENRT OI SABZEVAR NDB
 2  12.630222222   53.907972222        0      280    50      0.000  SCT ENRT OY SOCOTRA NDB
 2  35.349722222   75.532500000        0      247    25      0.000   SD ENRT OP SKARDU NDB
 2  25.764519444   88.909675000        0      268    50      0.000   SD ENRT VG SAIDPUR NDB
 2  37.949500000   27.339166667        0      424    50      0.000  SEL ENRT LT IZMIR-EFES NDB
 2  21.167500000   73.565833333        0      358    50      0.000   SG ENRT VA SONGARH NDB
 2  37.346027778   46.142750000        0      363    25      0.000  SHD ENRT OI SAHAND (MARAGHEH) NDB
 2  36.434750000   55.138500000        0      268    25      0.000  SHR ENRT OI SHAHROUD NDB
 2  25.894294444   50.603705556        0      343    15      0.000   SI ENRT OB ISA AB (BAHRAIN) NDB
 2  42.022305556   35.076805556        0      465    50      0.000  SIN ENRT LT SINOP NDB
 2  37.976722222   41.836722222        0      409    50      0.000  SIR ENRT LT SIIRT NDB
 2  25.902750000   54.540472222        0      300    15      0.000  SIR ENRT OI SIRRI ISLAND NDB
 2  39.789694444   36.893388889        0      310    25      0.000  SIV ENRT LT SIVAS NDB
 2  27.722294444   68.796116667        0      375    25      0.000   SK ENRT OP SUKKUR NDB
 2  32.305527778   50.838611111        0      376    50      0.000  SKD ENRT OI SHAHRE KORD NDB
 2  26.475591667   67.718297222        0      338    25      0.000   SN ENRT OP SEHWAN SHARIF NDB
 2  35.263750000   47.009333333        0      366    50      0.000  SNJ ENRT OI SANANDAJ NDB
 2  31.700683333   73.999008333        0      317    50      0.000   SP ENRT OP SHEIKHUPURA NDB
 2  30.000000000   77.431944444        0      298    50      0.000   SP ENRT VI SARSAWA NDB
 2  29.528972222   52.599416667        0      205    50      0.000   SR ENRT OI SHIRAZ NDB
 2  32.016666667   72.716666667        0      344    75      0.000   SR ENRT OP SARGODHA NDB
 2  27.415027778   62.325416667        0      415    50      0.000  SRN ENRT OI SARAVAN NDB
 2  36.495388889   61.074138889        0      334    50      0.000  SRS ENRT OI SARAKHS NDB
 2  34.808950000   72.351958333        0      357    25      0.000   SS ENRT OP SAIDU SHARIF NDB
 2  26.965758333   68.880686111        0      279    50      0.000   SW ENRT OP SAWAN NDB
 2  24.955483333   91.872400000        0      372    25      0.000   SY ENRT VG SYLHET NDB
 2  16.966666667   43.727777778        0      267    50      0.000  SYE ENRT OY SAADAH NDB
 2  22.515936111   53.988697222        0      285    25      0.000  SYH ENRT OE SHAYBAH NDB
 2  15.961844444   48.786161111        0      385    75      0.000  SYN ENRT OY SAYUN NDB
 2  40.148972222   33.016361111        0      366    25      0.000   SB LTAC LT ESENBOGA (ANKARA) NDB
 2  40.962750000   28.803750000        0      340    25      0.000   ST LTBA LT ATATURK (ISTANBUL) NDB
 2  35.598444444   53.497305556        0      222    15      0.000  SMN OIIS OI SEMNAN NDB
 2  19.090111111   73.017611111        0      345    25      0.000   SC VABB VA CHHATRAPATI SHIVAJI INTL(MUMBA NDB
 3  35.097750000  128.076305556        1    11510    40     -7.000  SAC ENRT RK SACHEON (CHINJU) VOR/DME
12  35.097750000  128.076305556        1    11510    40      0.000  SAC ENRT RK SACHEON (CHINJU) VOR/DME
 3  12.360313889  121.043080556       20    11710    40     -1.000  SAJ ENRT RP SAN JOSE VOR/DME
12  12.360313889  121.043080556       20    11710    40      0.000  SAJ ENRT RP SAN JOSE VOR/DME
 3  36.708977778  126.481830556       40    11150    25     -7.000  SAN ENRT RK SEOSAN TACAN
12  36.708977778  126.481830556       40    11150    25      0.000  SAN ENRT RK SEOSAN TACAN DME
 3  16.728375000  120.358108333        0    11450    40     -2.000  SAN ENRT RP SAN FERNANDO VOR
 3  16.562138889  104.766666667      459    11350    40     -1.000  SAV ENRT VL SAVANNAKHET VOR/DME
12  16.562138889  104.766666667      459    11350    40      0.000  SAV ENRT VL SAVANNAKHET VOR/DME
 3  14.769608333  120.225072222      158    11350    40     -1.000  SBA ENRT RP SUBIC (SUBIC BAY) VOR/DME
12  14.769608333  120.225072222      158    11350    40      0.000  SBA ENRT RP SUBIC (SUBIC BAY) VOR/DME
 3  38.147777778  128.601111111      100    11100    40     -8.000  SCH ENRT RK SOKCHO VOR/DME
12  38.147777778  128.601111111      100    11100    40      0.000  SCH ENRT RK SOKCHO VOR/DME
 3  35.098333333  128.078333333       25    11000   130     -6.900  SCN ENRT RK SACHEON TACAN
12  35.098333333  128.078333333       25    11000   130      0.000  SCN ENRT RK SACHEON TACAN DME
 3  38.138572222  140.921483333       54    11630   130     -8.000  SDE ENRT RJ SENDAI VOR/DME
12  38.138572222  140.921483333       54    11630   130      0.000  SDE ENRT RJ SENDAI VOR/DME
 3  37.413611111  126.928361111      900    11550    40     -8.000  SEL ENRT RK ANYANG VORTAC
12  37.413611111  126.928361111      900    11550    40      0.000  SEL ENRT RK ANYANG VORTAC DME
 3  33.148619444  130.292897222       40    11475   130     -7.000  SGE ENRT RJ SAGA VOR/DME
12  33.148619444  130.292897222       40    11475   130      0.000  SGE ENRT RJ SAGA VOR/DME
 3  35.801944444  140.010000000       96    10820   130     -7.000  SHT ENRT RJ SHIMOFUSA (MATSUDO) TACAN
12  35.801944444  140.010000000       96    10820   130      0.000  SHT ENRT RJ SHIMOFUSA (MATSUDO) TACAN DME
 3  24.821933333  125.143805556       66    11710   130     -3.000  SJE ENRT RO SHIMOJISHIMA VOR/DME
12  24.821933333  125.143805556       66    11710   130      0.000  SJE ENRT RO SHIMOJISHIMA VOR/DME
13  34.491947222  135.448330556      244    11230   130      0.000  SKD ENRT RJ SHINODA DME
 3   7.188791667  100.604197222       12    11350   130     -1.000  SKL ENRT VT SONGKHLA VOR/DME
12   7.188791667  100.604197222       12    11350   130      0.000  SKL ENRT VT SONGKHLA VOR/DME
 3  17.214136111  104.136761111      550    11420    40     -1.000  SKN ENRT VT SAKON NAKHON VOR/DME
12  17.214136111  104.136761111      550    11420    40      0.000  SKN ENRT VT SAKON NAKHON VOR/DME
 3  22.337619444  113.982072222       39    11480    40     -2.000  SMT ENRT VH SIU MO TO VOR/DME
12  22.337619444  113.982072222       39    11480    40      0.000  SMT ENRT VH SIU MO TO VOR/DME
 3   9.547075000  100.061741667       79    11760   130     -0.000  SMU ENRT VT SAMUI VOR/DME
12   9.547075000  100.061741667       79    11760   130      0.000  SMU ENRT VT SAMUI VOR/DME
13  35.934825000  139.981452778      129    11400    40      0.000  SND ENRT RJ MORIYA (TOKYO) DME
 3  42.562405556  141.963886111      115    11705    40     -9.000  SOE ENRT RJ SHIOMI (CHITOSE) VOR/DME
12  42.562405556  141.963886111      115    11705    40      0.000  SOE ENRT RJ SHIOMI (CHITOSE) VOR/DME
 3  21.900391667 -159.528872222      602    11540   130     11.000  SOK ENRT PH SOUTH KAUAI VORTAC
12  21.900391667 -159.528872222      602    11540   130      0.000  SOK ENRT PH SOUTH KAUAI VORTAC DME
 3  37.431913889  127.101908333       67    11120   130     -8.000  SOL ENRT RK SEOUL TACAN
12  37.431913889  127.101908333       67    11120   130      0.000  SOL ENRT RK SEOUL TACAN DME
 3  37.094361111  127.031663889       39    11690    40     -7.800  SOT ENRT RK SONGTAN VORTAC
12  37.094361111  127.031663889       39    11690    40      0.000  SOT ENRT RK SONGTAN VORTAC DME
 3  43.174641667  141.302383333       87    11390   130     -9.000  SPE ENRT RJ SAPPORO VOR/DME
12  43.174744444  141.302005556       87    11390   130      0.000  SPE ENRT RJ SAPPORO VOR/DME
 3  14.948333333  100.645000000        0    11730    40     -0.400  SPN ENRT VT SA PRAN NAK (LOP BURI) VOR
 3  13.408016667  103.806322222       60    11380   130     -1.000  SRE ENRT VD SIEM REAP VOR/DME
12  13.408016667  103.806322222       60    11380   130      0.000  SRE ENRT VD SIEM REAP VOR/DME
 3   9.131111111   99.134722222       19    11320    40     -0.700  SRT ENRT VT SURAT THANI TACAN
12   9.131111111   99.134722222       19    11320    40      0.000  SRT ENRT VT SURAT THANI TACAN DME
13  34.512363889  134.274213889     2531    11440   130      0.000  STD ENRT RJ SHODO DME
 3   9.129511111   99.134747222       19    11060    40     -0.700  STN ENRT VT SURAT THANI VOR/DME
12   9.129511111   99.134747222       19    11060    40      0.000  STN ENRT VT SURAT THANI VOR/DME
 3  20.132911111   92.878711111       38    11530   130     -1.000  STW ENRT VY SITTWE VOR/DME
12  20.132911111   92.878711111       38    11530   130      0.000  STW ENRT VY SITTWE VOR/DME
 3  32.755969444  132.996647222     1480    11520   130     -7.000  SUC ENRT RJ SHIMIZU VORTAC
12  32.755986111  132.995941667     1480    11520   130      0.000  SUC ENRT RJ SHIMIZU VORTAC DME
 3  13.659027778  100.731444444        5    11140    40     -1.000  SVB ENRT VT SUVARNABHUMI (BANGKOK) VOR/DME
12  13.659027778  100.731444444        5    11140    40      0.000  SVB ENRT VT SUVARNABHUMI (BANGKOK) VOR/DME
 3  33.856616667  131.029400000       54    11385   130     -7.000  SWE ENRT RJ SUOH (KITAKYUSHU) VOR/DME
12  33.856616667  131.029400000       54    11385   130      0.000  SWE ENRT RJ SUOH (KITAKYUSHU) VOR/DME
 3  37.239908333  127.001469444       86    10850    25     -7.000  SWN ENRT RK SUWON TACAN
12  37.239908333  127.001469444       86    10850    25      0.000  SWN ENRT RK SUWON TACAN DME
 3  36.010925000  139.839172222      115    11700   130     -7.000  SYE ENRT RJ SEKIYADO VOR/DME
12  36.010925000  139.839172222      115    11700   130      0.000  SYE ENRT RJ SEKIYADO VOR/DME
 3  34.796841667  138.193197222      448    11065   130     -7.000  SZE ENRT RJ SHIZUOKA VOR/DME
12  34.796841667  138.193197222      448    11065   130      0.000  SZE ENRT RJ SHIZUOKA VOR/DME
 2  20.419444444  104.068611111        0      206    50      0.000  SAM ENRT VL SAMNEUA NDB
 2  15.709722222  106.411111111        0      200    50      0.000  SAR ENRT VL SARAVANE NDB
 2  16.553055556  104.760277778        0      212    50      0.000  SAV ENRT VL SAVANNAKHET NDB
 2  19.241666667  101.708333333        0      365    50      0.000  SAY ENRT VL SAYABOULY NDB
 2  22.319963889  114.132216667        0      236    25      0.000   SC ENRT VH STONECUTTERS (HONG KONG) NDB
 2  10.854916667  106.752266667        0      326    50      0.000   SG ENRT VV TANSONNHAT (HOCHIMINH) NDB
 2  10.589027778  103.641833333        0      405    50      0.000  SHV ENRT VD SIHANOUK NDB
 2  13.399944444  103.799694444        0      441    50      0.000  SIR ENRT VD SIEM REAP NDB
 2  24.821933333  125.143805556        0      250    50      0.000   SJ ENRT RO SHIMOJISHIMA NDB
 2  38.136111111  128.597777778        0      378    50      0.000   SK ENRT RK SOKCHO NDB
 2   7.186111111  100.613055556        0      410    50      0.000   SK ENRT VT SONGKHLA NDB
 2  22.290975000  113.906947222        0      268    50      0.000   SL ENRT VH SHA LO WAN (HONG KONG) NDB
 2  15.111555556  145.710583333        0      312    25      0.000   SN ENRT PG SAIPAN NDB
 2  17.196991667  104.114838889        0      365    25      0.000   SN ENRT VT SAKON NAKHON NDB
 2   9.133136111   99.145452778        0      338    50      0.000   SR ENRT VT SURAT THANI NDB
 2  13.525000000  106.015000000        0      444    50      0.000   ST ENRT VD STUNG TRENG (STREUNG) NDB
 2   9.760055556  125.482680556        0      415    50      0.000   SU ENRT RP SURIGAO NDB
 2  20.134013889   92.883050000        0      216    50      0.000   SW ENRT VY SITTWE NDB
 2  15.111555556  145.710583333        0      312    25      0.000   SN PGSN PG SAIPAN INTL NDB
 2  22.577805556  120.326333333        0      330    15      0.000   SK RCKH RC KAOHSIUNG INTL NDB
 2  25.070416667  121.529583333        0      310    25      0.000   SG RCSS RC SONGSHAN (TAIPEI) NDB
 3 -24.852277778  -65.483916667     4068    11670    40     -7.000  SAL ENRT SA SALTA VOR/DME
12 -24.852277778  -65.483916667     4068    11670    40      0.000  SAL ENRT SA SALTA VOR/DME
 3  -2.221722222  -80.970916667       36    11410    40     -1.000  SAV ENRT SE SALINAS VOR/DME
12  -2.221722222  -80.970916667       36    11410    40      0.000  SAV ENRT SE SALINAS VOR/DME
 3 -23.507055556  -47.378219444     2000    11520    40    -18.400  SCB ENRT SB SOROCABA (SAO PAULO TMA) VOR/DME
12 -23.507055556  -47.378219444     2000    11520    40      0.000  SCB ENRT SB SOROCABA (SAO PAULO TMA) VOR/DME
 3 -13.738555556  -76.212750000       20    11410    40     -2.000  SCO ENRT SP PISCO VOR/DME
12 -13.738555556  -76.212750000       20    11410    40      0.000  SCO ENRT SP PISCO VOR/DME
 3 -23.233166667  -45.860000000     2089    11540    40    -21.300  SCP ENRT SB SAO JOSE (SAO JOSE DOS CA VOR/DME
12 -23.233166667  -45.860000000     2089    11540    40      0.000  SCP ENRT SB SAO JOSE (SAO JOSE DOS CA VOR/DME
 3 -22.949627778  -43.727402778       10    11360    40    -21.000  SCR ENRT SB SANTA CRUZ (RIO) VOR/DME
12 -22.949627778  -43.727402778       10    11360    40      0.000  SCR ENRT SB SANTA CRUZ (RIO) VOR/DME
 3  -0.906027778  -89.619138889       62    11310   130      4.000  SCV ENRT SE SAN CRISTOBAL VOR/DME
12  -0.906027778  -89.619138889       62    11310   130      0.000  SCV ENRT SE SAN CRISTOBAL VOR/DME
 3 -27.779397222  -64.318061111        0    11480    40     -7.000  SDE ENRT SA SANTIAGO DEL ESTERO VOR
 3 -29.915555556  -71.196944444      461    11650    25      1.000  SER ENRT SC LA SERENA (LA FLORIDA) VOR/DME
12 -29.915555556  -71.196944444      461    11650    25      0.000  SER ENRT SC LA SERENA (LA FLORIDA) VOR/DME
 3   7.882750000  -67.439000000      174    11210    40    -11.000  SFD ENRT SV SAN FERNANDO DE APURE VOR/DME
12   7.882750000  -67.439000000      174    11210    40      0.000  SFD ENRT SV SAN FERNANDO DE APURE VOR/DME
 3  -5.771811111  -35.368680556      273    11590   130    -22.000  SGA ENRT SB SAO GONCALO DO AMARANTE VOR/DME
12  -5.771811111  -35.368680556      273    11590   130      0.000  SGA ENRT SB SAO GONCALO DO AMARANTE VOR/DME
 3  -0.150594444  -66.985166667      258    11540    40     -8.000  SGC ENRT SB GABRIEL VOR/DME
12  -0.150594444  -66.985166667      258    11540    40      0.000  SGC ENRT SB GABRIEL VOR/DME
 3 -27.446916667  -59.057111111      194    11510    40    -12.000  SIS ENRT SA RESISTENCIA VOR/DME
12 -27.446916667  -59.057111111      194    11510    40      0.000  SIS ENRT SA RESISTENCIA VOR/DME
 3   2.531688889  -72.640286111      520    11330   130     -7.000  SJE ENRT SK SAN JOSE DEL GUAVIARE VOR/DME
12   2.531688889  -72.640286111      520    11330   130      0.000  SJE ENRT SK SAN JOSE DEL GUAVIARE VOR/DME
 3 -49.309722222  -67.812777778      190    11770    40     12.000  SJU ENRT SA SAN JULIAN VOR/DME
12 -49.309722222  -67.812777778      190    11770    40      0.000  SJU ENRT SA SAN JULIAN VOR/DME
 3  -2.589241667  -44.239969444      177    11350   130    -21.000  SLI ENRT SB SAO LUIS VOR/DME
12  -2.589241667  -44.239969444      177    11350   130      0.000  SLI ENRT SB SAO LUIS VOR/DME
 3 -11.287625000  -77.562502778      112    11470    40     -1.000  SLS ENRT SP SALINAS VOR/DME
12 -11.287625000  -77.562502778      112    11470    40      0.000  SLS ENRT SP SALINAS VOR/DME
 3 -29.709761111  -53.712744444      300    11200    40    -15.000  SMA ENRT SB SANTA MARIA VOR/DME
12 -29.709761111  -53.712744444      300    11200    40      0.000  SMA ENRT SB SANTA MARIA VOR/DME
 3 -34.222222222  -59.441388889        1    11770    40     -4.900  SNT ENRT SA SAN ANTONIO DE ARECO VOR/DME
12 -34.222222222  -59.441388889        1    11770    40      0.000  SNT ENRT SA SAN ANTONIO DE ARECO VOR/DME
 3   4.603055556  -74.273055556     8108    10860   130     -6.000  SOA ENRT SK SOACHA (BOGOTA) VOR/DME
12   4.603055556  -74.273055556     8108    10860   130      0.000  SOA ENRT SK SOACHA (BOGOTA) VOR/DME
 3   8.941055556  -64.157750000      850    11650    40    -13.000  SOM ENRT SV SAN TOME VOR/DME
12   8.941055556  -64.157750000      850    11650    40      0.000  SOM ENRT SV SAN TOME VOR/DME
 3 -34.589444444  -68.394722222     2500    11690   130      1.000  SRA ENRT SA SAN RAFAEL VOR/DME
12 -34.589444444  -68.394722222     2500    11690   130      0.000  SRA ENRT SA SAN RAFAEL VOR/DME
 3 -32.373611111  -65.183333333     2020    11750    40     -1.000  SRC ENRT SA STA. ROSA DE CONLARA(VALL VOR/DME
12 -32.373611111  -65.183333333     2020    11750    40      0.000  SRC ENRT SA STA. ROSA DE CONLARA(VALL VOR/DME
 3  -3.447111111  -80.009388889       30    11660    40     -2.000  SRV ENRT SE SANTA ROSA VOR/DME
12  -3.447111111  -80.009388889       30    11660    40      0.000  SRV ENRT SE SANTA ROSA VOR/DME
 3  10.962500000  -74.240555556       34    11660    40     -8.000  STA ENRT SK SANTA MARTA VOR/DME
12  10.962500000  -74.240555556       34    11660    40      0.000  STA ENRT SK SANTA MARTA VOR/DME
 3   8.980805556  -71.940250000       39    11490    40     -8.000  STB ENRT SV SANTA BARBARA DEL ZULIA VOR/DME
12   8.980805556  -71.940250000       39    11490    40      0.000  STB ENRT SV SANTA BARBARA DEL ZULIA VOR/DME
 3   7.570000000  -72.018333333     1083    11530   130     -6.000  STD ENRT SV SANTO DOMINGO TACAN
12   7.570000000  -72.018333333     1083    11530   130      0.000  STD ENRT SV SANTO DOMINGO TACAN DME
 3  -2.426419444  -54.817563889      180    11230    40    -18.000  STM ENRT SB SANTAREM VOR/DME
12  -2.426419444  -54.817563889      180    11230    40      0.000  STM ENRT SB SANTAREM VOR/DME
 3 -23.487541667  -46.923308333     3100    11430    40    -21.000  STN ENRT SB SANTANA (SAO PAULO TMA) VOR/DME
12 -23.487541667  -46.923308333     3100    11430    40      0.000  STN ENRT SB SANTANA (SAO PAULO TMA) VOR/DME
 3 -31.434722222  -57.984222222        0    11790    40    -11.000  STO ENRT SU SALTO VOR
 3 -19.011944444  -65.291666667     9534    11650    40     -9.000  SUR ENRT SL SUCRE VOR/DME
12 -19.011944444  -65.291666667     9534    11650    40      0.000  SUR ENRT SL SUCRE VOR/DME
 3   2.157222222  -74.773611111      883    11650    40     -6.000  SVC ENRT SK SAN VICENTE DEL CAGUAN VOR/DME
12   2.157222222  -74.773611111      883    11650    40      0.000  SVC ENRT SK SAN VICENTE DEL CAGUAN VOR/DME
 3 -12.906500000  -38.321333333      122    11650    40    -23.000  SVD ENRT SB SALVADOR VOR/DME
12 -12.906500000  -38.321333333      122    11650    40      0.000  SVD ENRT SB SALVADOR VOR/DME
 2 -51.684319444  -57.777433333        0      305    50      0.000   SA ENRT SF STANLEY NDB
 2 -32.986666667  -71.535833333        0      390    50      0.000  SAL ENRT SC SALINAS NDB
 2 -40.764722222  -65.034166667        0      220    50      0.000  SAN ENRT SA SAN ANTONIO OESTE NDB
 2 -28.277833333  -54.171666667        0      280    50      0.000  SAN ENRT SB SANTO ANGELO NDB
 2 -23.983150000  -46.263338889        0      375    50      0.000  SAT ENRT SB SANTOS NDB
 2 -16.580486111  -49.698230556        0      230    50      0.000  SBG ENRT SB SANTA BARBARA (ANAPOLIS) NDB
 2 -22.943913889  -43.717183333        0      255    50      0.000  SCR ENRT SB SANTA CRUZ (RIO) NDB
 2  -0.909333333  -89.615583333        0      300    50      0.000  SCR ENRT SE SAN CRISTOBAL (GALAPAGOS) NDB
 2 -50.021666667  -68.579444444        0      245    50      0.000  SCZ ENRT SA SANTA CRUZ NDB
 2   7.881055556  -67.444805556        0      333    50      0.000  SFD ENRT SV SAN FERNANDO DE APURE NDB
 2  -0.150666667  -66.985166667        0      215    50      0.000  SGC ENRT SB GABRIEL NDB
 2 -41.583333333  -65.350000000        0      290    50      0.000  SGR ENRT SA SIERRA GRANDE NDB
 2 -16.441666667  -39.082500000        0      385    50      0.000  SGR ENRT SB PORTO SEGURO NDB
 2 -27.464194444  -59.069694444        0      285    50      0.000  SIS ENRT SA RESISTENCIA NDB
 2   0.500555556  -76.502222222        0      330    75      0.000  SIS ENRT SK PUERTO ASIS NDB
 2 -22.033819444  -41.053788889        0      300    50      0.000   SK ENRT SB SAO TOME (MACAE) NDB
 2   0.856388889  -77.675277778        0      244    15      0.000  SLI ENRT SK SAN LUIS (IPIALES) NDB
 2  -2.218638889  -80.972944444        0      415    50      0.000  SLS ENRT SE SALINAS NDB
 2 -29.707000000  -53.677166667        0      365    50      0.000  SMA ENRT SB SANTA MARIA NDB
 2 -29.706333333  -53.769000000        0      215    50      0.000  SMR ENRT SB CERRITO (SANTA MARIA) NDB
 2 -16.330000000  -58.398055556        0      330    50      0.000  SMT ENRT SL SAN MATIAS NDB
 2 -16.383055556  -60.964388889        0      250    50      0.000  SNG ENRT SL SAN IGNACIO DE VELASCO NDB
 2 -33.651111111  -71.612777778        0      355    50      0.000  SNO ENRT SC SANTO DOMINGO NDB
 2   5.676944444  -72.967777778        0      355    75      0.000  SOG ENRT SK SOGAMOSO NDB
 2  -2.235305556  -80.076888889        0      280    50      0.000  SOL ENRT SE CHONGON (GUAYAQUIL) NDB
 2  10.285000000  -68.753611111        0      230    50      0.000  SPE ENRT SV SAN FELIPE NDB
 2 -20.820852778  -49.414272222        0      395    50      0.000  SPT ENRT SB RIO PRETO NDB
 2 -19.013250000  -65.291916667        0      230    50      0.000  SRE ENRT SL SUCRE NDB
 2 -14.857722222  -66.735666667        0      270    50      0.000  SRJ ENRT SL SAN BORJA NDB
 2   1.923055556  -67.057222222        0      395    50      0.000  SRN ENRT SV SAN CARLOS DE RIO NEGRO NDB
 2   9.959194444  -67.150916667        0      318    50      0.000  SSB ENRT SV SAN SEBASTIAN NDB
 2 -31.450666667  -57.996722222        0      410    50      0.000   ST ENRT SU SALTO NDB
 2 -22.623333333  -56.635000000        0      397    50      0.000  STA ENRT SG SANTA TERESA NDB
 2   8.984000000  -71.940861111        0      218    50      0.000  STB ENRT SV SANTA BARBARA DEL ZULIA NDB
 2  -0.247527778  -79.207333333        0      270    25      0.000  STD ENRT SE SANTO DOMINGO NDB
 2 -22.028666667  -41.069166667        0      360    50      0.000  STG ENRT SB TOME NDB
 2  -2.427666667  -54.791666667        0      350    50      0.000  STM ENRT SB SANTAREM NDB
 2  -3.447861111  -80.008305556        0      250    25      0.000  STR ENRT SE SANTA ROSA NDB
 2   6.952500000  -71.860555556        0      388    50      0.000  SVA ENRT SK SARAVENA NDB
 2 -31.711666667  -60.806388889        0      405    50      0.000  SVO ENRT SA SAUCE VIEJO (SANTA FE) NDB
 2 -28.603833333  -48.813841667        0      310    50      0.000   SW ENRT SB SANTA MARTA (CABO DE-) NDB
 4 -31.808447222  -60.482730556      242    11030    25    188.401   PA SAAP SA 19 ILS-cat-I
 6 -31.788280556  -60.480500000      242    11030    25 300188.401   PA SAAP SA 19 GS
 4 -32.919333333  -60.788250000      138    10990    25    190.817   RO SAAR SA 20 ILS-cat-I
 6 -32.893111111  -60.780972222      138    10990    25 300190.817   RO SAAR SA 20 GS
12 -32.893111111  -60.780972222      138    10990    25      0.000   RO SAAR SA ISLAS MALVINAS DME-ILS
 4 -31.699558333  -60.805700000       56    10950    25     22.761   SV SAAV SA 03 ILS-cat-I
 6 -31.717294444  -60.816166667       56    10950    25 300022.761   SV SAAV SA 03 GS
 4 -34.565366667  -58.404688889       66    10950    25    124.116   AE SABE SA 13 ILS-cat-I
 6 -34.556197222  -58.423191667       66    10950    25 300124.116   AE SABE SA 13 GS
12 -34.556197222  -58.423191667       66    10950    25      0.000   AE SABE SA JORGE NEWBERY AEROPARQUE DME-ILS
 4 -31.326527778  -64.208055556     1647    11030    25    179.195   CB SACO SA 18 ILS-cat-I
 6 -31.299138889  -64.207222222     1647    11030    25 300179.195   CB SACO SA 18 GS
12 -31.299138889  -64.207222222     1647    11030    25      0.000   CB SACO SA ING AER A L V TARAVELLA DME-ILS
 4 -34.447163889  -58.582213889       10    10910    25     44.062   FD SADF SA 05 ILS-cat-I
 6 -34.457938889  -58.593005556       10    10910    25 300044.062   FD SADF SA 05 GS
12 -34.457938889  -58.593005556       10    10910    25      0.000   FD SADF SA SAN FERNANDO DME-ILS
 4 -34.620194444  -58.607272222       59    11050    25    150.957   PR SADP SA 16 ILS-cat-I
 6 -34.603333333  -58.614444444       59    11050    25 300150.957   PR SADP SA 16 GS
12 -34.603333333  -58.614444444       53    11050    25      0.000   PR SADP SA EL PALOMAR DME-ILS
 4 -34.804361111  -58.535305556      118    10870    25    344.091   EZ SAEZ SA 35 ILS-cat-I
 6 -34.829333333  -58.525027778      118    10870    25 300344.091   EZ SAEZ SA 35 GS
12 -34.829333333  -58.525027778      118    10870    25      0.000   EZ SAEZ SA EZEIZA INTL MINISTRO PIST DME-ILS
